site,plataforma,item,produto_encontrado,score,url_produto
panan.com.br,desconhecida,U079 - Canecão industrial tipo hotel nº 18,Bule Industrial Alumínio 7 Litros Hotel ABC com Cabo Baquelite,0.733,https://www.panan.com.br/utilidades/aluminios/bule-industrial-aluminio-7-litros-hotel-abc-com-cabo-baquelite
panan.com.br,desconhecida,U020 - Caldeirão tipo hotel industrial nº 30,"Caldeirão Industrial 94,2 Litros Alumínio Hotel Nº50 ABC Com Tampa",0.717,https://www.panan.com.br/utilidades/aluminios/caldeirao-industrial-94-2-litros-aluminio-hotel-no50-abc-com-tampa
panan.com.br,desconhecida,U010 - Caçarola tipo hotel industrial nº 45,"Caçarola Industrial 17,2L Alumínio ABC Linha Hotel Nº36 Com Tampa",0.714,https://www.panan.com.br/utilidades/aluminios/cacarola-industrial-17-2l-aluminio-abc-linha-hotel-no36-com-tampa
panan.com.br,desconhecida,U037 - Escorredor de macarrão industrial tipo hotel,Escorredor de Macarrão Industrial 30L 50cm Alumínio ABC Linha Hotel,0.686,https://www.panan.com.br/utilidades/aluminios/escorredor-de-macarrao-industrial-30l-50cm-aluminio-abc-linha-hotel
panan.com.br,desconhecida,U038 - Escorredor de macarrão industrial tipo hotel,Escorredor de Macarrão Industrial 30L 50cm Alumínio ABC Linha Hotel,0.686,https://www.panan.com.br/utilidades/aluminios/escorredor-de-macarrao-industrial-30l-50cm-aluminio-abc-linha-hotel
panan.com.br,desconhecida,U014 - Caixa plástica organizadora com tampa,Caixa Plástica Organizadora c/ Tampa 5L - Pleion,0.677,https://www.panan.com.br/utilidades/caixas-e-estrados/caixa-plastica-organizadora-c-tampa-5l-pleion
panan.com.br,desconhecida,U076 - Caldeirão industrial com capacidade aproximada de 10 litros,"Caldeirão Industrial 94,2 Litros Alumínio Hotel Nº50 ABC Com Tampa",0.657,https://www.panan.com.br/utilidades/aluminios/caldeirao-industrial-94-2-litros-aluminio-hotel-no50-abc-com-tampa
panan.com.br,desconhecida,U013 - Caixa plástica com tampa,Caixa Plástica 61L com Tampa Branca - Bolivar,0.655,https://www.panan.com.br/utilidades/caixa-plastica-61l-com-tampa-branca-bolivar
panan.com.br,desconhecida,U015 - Caixa plástica para mantimentos,Caixa Plástica 61L com Tampa Branca - Bolivar,0.655,https://www.panan.com.br/utilidades/caixa-plastica-61l-com-tampa-branca-bolivar
panan.com.br,desconhecida,U016 - Caixa plástica para mantimentos,Caixa Plástica 61L com Tampa Branca - Bolivar,0.655,https://www.panan.com.br/utilidades/caixa-plastica-61l-com-tampa-branca-bolivar
panan.com.br,desconhecida,U018 - Caixa plástica retangular para mantimentos,Caixa Plástica 61L com Tampa Branca - Bolivar,0.655,https://www.panan.com.br/utilidades/caixa-plastica-61l-com-tampa-branca-bolivar
panan.com.br,desconhecida,U019 - Caixa plástica tipo Gourmet,Caixa Plástica 61L com Tampa Branca - Bolivar,0.655,https://www.panan.com.br/utilidades/caixa-plastica-61l-com-tampa-branca-bolivar
panan.com.br,desconhecida,U074 - Cuba gastronômica padrão GN 1/2,Tampa para Cuba de 1/2 GP211 - Em Aço Inox - GP Inox,0.613,https://www.panan.com.br/utilidades/tampa-para-cuba-de-12-gp211-em-aco-inox-gp-inox
panan.com.br,desconhecida,U069 - Rolo de massa profissional confeccionado em material sintético atóxico (PEAD ou PP),"Assadeira Alumínio 60 x 40 x 3,5 cm Uso Profissional",0.606,https://www.panan.com.br/cozinha/utensilios/assadeira-aluminio-60-x-40-x-3-5-cm-uso-profissional
panan.com.br,desconhecida,U026 - Colher de servir profissional confeccionada em aço inoxidável,Colher De Servir Inox - Uny Gift,0.6,https://www.panan.com.br/utilidades/talheres/colher-de-servir-inox-uny-gift
panan.com.br,desconhecida,U053 - Kit de tábuas profissionais para corte de alimentos,Tábua De Corte 50x30cm Com Canaleta Polietileno Pronyl Bege,0.594,https://www.panan.com.br/acougue/placas-de-corte/placa-de-corte-assados-bege-30x50cm-pronyl
panan.com.br,desconhecida,U028 - Concha profissional tipo hotel,"Paelleira Profissional 50 cm Antiaderente Linha Hotel ABC 9,3 Litros",0.556,https://www.panan.com.br/utilidades/aluminios/paelleira-profissional-50-cm-antiaderente-linha-hotel-abc-9-3-litros
panan.com.br,desconhecida,U033 - Cuscuzeiro tipo hotel,Assadeira Perfurada 35x35 cm em Alumínio Imeca,0.552,https://www.panan.com.br/cozinha/utensilios/assadeira-perfurada-35x35-cm-em-aluminio-imeca
panan.com.br,desconhecida,U034 - Cuscuzeiro tipo hotel,Assadeira Perfurada 35x35 cm em Alumínio Imeca,0.552,https://www.panan.com.br/cozinha/utensilios/assadeira-perfurada-35x35-cm-em-aluminio-imeca
