id_item,categoria,grupo_insumo,item_curto,descricao,termos_busca
U024,UTENSILIOS,CARRINHO AUXILIAR,Carrinho auxiliar para transporte,"Carrinho auxiliar para transporte, em aço inoxidável AISI 304, com duas prateleiras lisas, estrutura tubular reforçada, dois puxadores laterais e quatro rodízios giratórios, sendo dois com freio. Possui dimensões aproximadas de 100 × 50 × 95 cm","carrinho auxiliar 95 cm | carrinho auxiliar inox | carrinho auxiliar transporte, | carrinho auxiliar"
U026,UTENSILIOS,COLHER,Colher de servir profissional confeccionada em aço inoxidável,"Colher de servir profissional confeccionada em aço inoxidável, com comprimento aproximado de 50 cm, estrutura resistente, acabamento liso e formato adequado para servir e manipular alimentos",colher 50 cm | colher inox | colher servir profissional | colher
U027,UTENSILIOS,COLHER,Colher plástica escolar confeccionada em polietileno (PE) atóxico,"Colher plástica escolar confeccionada em polietileno (PE) atóxico, próprio para contato com alimentos, na cor azul, com comprimento aproximado de 5 cm, acabamento liso, resistente e de fácil higienização",colher 5 cm | colher plastica escolar | colher
U028,UTENSILIOS,CONCHA,Concha profissional tipo hotel,"Concha profissional tipo hotel, com capacidade aproximada de 900 ml, confeccionada em alumínio de alta resistência, com cabo longo de aproximadamente 50 cm, acabamento liso e estrutura adequada para servir e manipular alimentos","concha 900 ml | concha aluminio | concha profissional hotel, | concha"
U029,UTENSILIOS,COPO,Copo medidor profissional com capacidade aproximada de 500 ml,"Copo medidor profissional com capacidade aproximada de 500 ml, confeccionado em polipropileno (PP) ou policarbonato (PC) atóxico, transparente, resistente e próprio para contato com alimentos. Possui escala graduada em mililitros (mL) para medição de volumes, com formato ergonômico e fácil higienização",copo 500 ml | copo polipropileno | copo medidor profissional | copo
U030,UTENSILIOS,CUBA,Cuba gastronômica padrão GN 1/1,"Cuba gastronômica padrão GN 1/1, capacidade aproximada 20L, com dimensões aproximadas de 530 × 325 × 150 mm (comprimento × largura × altura), fabricada em aço inoxidável AISI 304, modelo liso, sem alças, destinada ao acondicionamento, preparo, armazenamento e distribuição de alimentos em cozinhas industriais. Deve possuir construção monobloco estampada, acabamento escovado, cantos internos arredondados e bordas reforçadas, compatível com equipamentos padrão Gastronorm (EN 631).",cuba 20 l | cuba inox | cuba gastronomica padrao | cuba
U031,UTENSILIOS,CUBA,Cuba gastronômica padrão GN 1/2,"Cuba gastronômica padrão GN 1/2, capacidade aproximada 10 litros, com dimensões aproximadas de 325 × 265 × 150 mm (comprimento × largura × altura), fabricada em aço inoxidável AISI 304, modelo liso, sem alças, destinada ao acondicionamento, armazenamento, preparo e distribuição de alimentos em cozinhas profissionais. Possui construção monobloco estampada, acabamento escovado, cantos internos arredondados e bordas reforçadas, compatível com equipamentos padrão Gastronorm (EN 631).",cuba 10 l | cuba inox | cuba gastronomica padrao | cuba
U074,UTENSILIOS,CUBA,Cuba gastronômica padrão GN 1/2,"Cuba gastronômica padrão GN 1/2, capacidade aproximada de 6 litros, com dimensões aproximadas de 325 × 265 × 100 mm (comprimento × largura × altura), fabricada em aço inoxidável AISI 304, modelo liso, sem alças, destinada ao acondicionamento, armazenamento, preparo e distribuição de alimentos em cozinhas profissionais. Possui construção monobloco estampada, acabamento escovado, cantos internos arredondados e bordas reforçadas, acompanhada de tampa em aço inoxidável ou material equivalente, compatível com equipamentos padrão Gastronorm (EN 631).",cuba 6 l | cuba inox | cuba gastronomica padrao | cuba
U032,UTENSILIOS,CUMBUCA,Cumbuca plástica escolar com capacidade aproximada de 450 ml,"Cumbuca plástica escolar com capacidade aproximada de 450 ml, confeccionada em polietileno (PE) atóxico, próprio para contato com alimentos, na cor azul, com acabamento liso, resistente, leve e de fácil higienização",cumbuca 450 ml | cumbuca plastica escolar | cumbuca
U033,UTENSILIOS,CUSCUZEIRO,Cuscuzeiro tipo hotel,"Cuscuzeiro tipo hotel, com capacidade aproximada de 10 litros, confeccionado em alumínio de alta resistência, composto por panela, divisória perfurada e tampa em alumínio, com alças laterais reforçadas e acabamento liso para facilitar a higienização.","cuscuzeiro 10 l | cuscuzeiro aluminio | cuscuzeiro hotel, 10 | cuscuzeiro"
